,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Amt_per_Trans
26,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,1374,13410.0,0.9209999999999999,1197,23,1.3,0.09300000000000001,52.04347826086956
27,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,1010,9205.0,0.843,1904,40,1.0,0.099,47.6
28,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,0,10100.0,0.525,1052,18,1.571,0.0,58.44444444444444
29,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,1362,3423.0,0.7390000000000001,1045,38,0.9,0.285,27.5
30,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,1811,942.0,0.977,1038,25,2.571,0.6579999999999999,41.52
31,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,1690,761.0,1.3230000000000002,1596,26,1.6,0.69,61.38461538461539
32,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,2517,6406.0,1.726,1589,24,1.6669999999999998,0.282,66.20833333333333
33,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,1490,1160.0,1.75,1411,28,1.0,0.562,50.392857142857146
34,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,1696,10859.0,0.519,1291,24,0.7140000000000001,0.135,53.791666666666664
35,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,1914,1606.0,0.51,1407,43,0.483,0.544,32.72093023255814
36,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,2298,737.0,1.724,1877,37,1.176,0.757,50.729729729729726
37,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,0,15433.0,0.865,966,22,1.2,0.0,43.90909090909091
38,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,886,2786.0,1.32,1464,28,0.556,0.24100000000000002,52.285714285714285
39,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,605,7277.0,1.052,704,16,0.14300000000000002,0.077,44.0
40,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,578,31848.0,1.042,1109,28,0.474,0.018000000000000002,39.607142857142854
41,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,2204,4001.0,0.8029999999999999,1347,28,0.556,0.355,48.107142857142854
42,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,2517,14787.0,1.449,1756,33,1.2,0.145,53.21212121212121
43,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,0,3906.0,1.214,1756,32,1.0,0.0,54.875
44,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,2055,7775.0,0.977,1042,23,0.917,0.209,45.30434782608695
45,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,0,34516.0,1.621,1444,28,1.3330000000000002,0.0,51.57142857142857
46,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,1430,853.0,2.316,1741,27,0.588,0.626,64.48148148148148
47,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2020,528.0,2.3569999999999998,1719,27,1.7,0.7929999999999999,63.666666666666664
48,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,1435,18023.0,0.787,1217,27,0.8,0.07400000000000001,45.074074074074076
49,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,1227,3518.0,0.624,1140,40,0.6,0.259,28.5
50,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,1549,1073.0,1.321,1878,30,1.143,0.591,62.6
51,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,808,630.3,0.997,705,19,0.9,0.562,37.10526315789474
52,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,2179,992.0,1.224,1946,38,1.923,0.687,51.21052631578947
53,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,2517,17246.0,0.664,1414,35,0.25,0.127,40.4
54,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,0,15769.0,1.041,602,15,0.364,0.0,40.13333333333333
55,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,2200,1098.0,0.6779999999999999,1052,32,0.6,0.667,32.875
56,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2363,439.0,0.75,1295,40,0.6,0.843,32.375
57,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,1880,2578.0,1.107,1424,29,1.4169999999999998,0.42200000000000004,49.10344827586207
58,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,978,5295.0,2.275,1359,25,1.083,0.156,54.36
59,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,1753,1583.0,0.69,1168,27,1.25,0.525,43.25925925925926
60,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,2016,1420.0,0.9009999999999999,1097,33,0.833,0.5870000000000001,33.24242424242424
61,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,0,34516.0,0.763,691,15,0.5,0.0,46.06666666666667
62,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,1251,4675.0,0.9440000000000001,1316,28,1.1540000000000001,0.21100000000000002,47.0
63,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,2102,21855.0,0.997,1276,26,0.733,0.08800000000000001,49.07692307692308
64,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,1634,13100.0,0.9890000000000001,1289,23,0.917,0.111,56.04347826086956
65,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,1515,33001.0,0.5920000000000001,1293,32,0.6,0.044000000000000004,40.40625
66,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,1817,4767.0,0.62,1353,35,0.667,0.276,38.65714285714286
67,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,1468,616.0,1.004,1132,28,0.556,0.7040000000000001,40.42857142857143
68,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1107,580.0,1.715,1670,17,2.4,0.6559999999999999,98.23529411764706
69,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,1330,23970.0,1.072,837,15,2.0,0.053,55.8
70,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,1763,32753.0,1.266,1550,41,1.05,0.051,37.80487804878049
71,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,1034,1182.0,0.758,1540,36,0.28600000000000003,0.467,42.77777777777778
72,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2030,880.0,0.769,1256,21,0.4,0.698,59.80952380952381
73,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,1528,21385.0,0.414,1394,35,0.522,0.067,39.82857142857143
74,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,1932,22380.0,1.3119999999999998,1341,24,1.182,0.079,55.875
75,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,1515,3757.0,0.857,1289,33,0.435,0.287,39.06060606060606
76,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,2517,4483.0,0.475,1112,23,1.875,0.36,48.34782608695652
77,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,1801,5237.0,0.7509999999999999,2339,57,0.966,0.256,41.03508771929825
78,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,1823,713.0,0.703,1468,23,0.353,0.7190000000000001,63.82608695652174
79,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,1899,27005.0,0.85,1334,35,0.4,0.066,38.114285714285714
80,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,1695,6872.0,1.242,1457,41,1.412,0.198,35.53658536585366
81,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,1533,32983.0,0.924,1603,29,0.526,0.044000000000000004,55.275862068965516
82,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,0,2158.0,0.585,615,12,0.7140000000000001,0.0,51.25
83,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,1417,8716.0,0.38299999999999995,1068,20,0.818,0.14,53.4
84,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,1219,33297.0,1.129,1590,27,2.0,0.035,58.888888888888886
85,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,1910,1175.0,0.9209999999999999,1531,35,0.667,0.619,43.74285714285714
86,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,2056,16984.0,0.607,1212,31,0.722,0.10800000000000001,39.096774193548384
87,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,0,4026.0,0.483,1237,32,0.6,0.0,38.65625
88,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,837,11919.0,1.932,1413,14,1.8,0.066,100.92857142857143
89,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,0,5266.0,1.702,1516,29,1.636,0.0,52.275862068965516
90,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,0,9930.0,0.731,1276,21,1.3330000000000002,0.0,60.76190476190476
91,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,1953,29349.0,0.875,1564,35,2.182,0.062,44.68571428571428
92,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,0,6576.0,0.579,1465,34,0.619,0.0,43.088235294117645
93,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2037,627.0,0.85,1286,29,0.9329999999999999,0.765,44.3448275862069
94,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2440,95.0,1.705,1312,20,1.222,0.963,65.6
95,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,895,814.0,1.656,1673,32,0.882,0.524,52.28125
96,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,1200,2254.0,0.597,1313,30,0.304,0.34700000000000003,43.766666666666666
97,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,1706,2083.0,1.047,1609,42,0.68,0.45,38.30952380952381
98,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,2,0,2250,7439.0,0.5760000000000001,1158,19,0.727,0.23199999999999998,60.94736842105263
99,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,1628,3821.0,0.696,836,18,0.385,0.299,46.44444444444444
100,Existing Customer,49,F,3,College,Single,Unknown,Blue,43,4,4,0,1960,21072.0,0.619,1289,22,1.0,0.085,58.59090909090909
101,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,2053,32463.0,1.034,1487,26,0.733,0.059000000000000004,57.19230769230769
102,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,1264,1676.0,0.562,1259,33,0.5,0.43,38.15151515151515
103,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,1879,1152.0,0.7879999999999999,1298,15,1.5,0.62,86.53333333333333
104,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,0,1862.0,0.883,1226,34,0.789,0.0,36.05882352941177
105,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,926,7432.0,0.762,1566,37,0.542,0.111,42.32432432432432
106,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,931,33585.0,0.828,1022,21,1.1,0.027000000000000003,48.666666666666664
107,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,2440,12010.0,1.2830000000000001,1235,30,0.667,0.16899999999999998,41.166666666666664
108,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,0,1438.3,0.813,1951,44,1.095,0.0,44.34090909090909
109,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,1960,31831.0,0.618,1047,31,0.8240000000000001,0.057999999999999996,33.774193548387096
110,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,1886,6580.0,0.56,1342,32,0.391,0.223,41.9375
111,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,865,14223.0,0.9390000000000001,1107,21,1.625,0.057,52.714285714285715
112,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,1674,1589.0,0.588,1251,35,0.34600000000000003,0.513,35.74285714285714
113,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,706,788.0,1.6740000000000002,1305,24,3.0,0.473,54.375
114,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,1294,12257.0,0.7909999999999999,1388,37,1.056,0.095,37.513513513513516
115,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,895,17991.0,1.8259999999999998,1235,18,1.571,0.047,68.61111111111111
116,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,1273,10703.0,1.024,2089,36,1.1179999999999999,0.106,58.02777777777778
117,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,1559,8405.0,1.8730000000000002,1626,25,0.7859999999999999,0.156,65.04
118,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,1196,22963.0,0.7120000000000001,1111,24,1.0,0.05,46.291666666666664
119,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,1901,3461.0,0.816,1553,38,1.0,0.355,40.86842105263158
120,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,1023,33493.0,1.004,1064,13,0.625,0.03,81.84615384615384
121,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,1951,1223.0,0.7659999999999999,1243,29,0.611,0.615,42.86206896551724
122,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,1836,10426.0,1.584,1659,38,1.5330000000000001,0.15,43.6578947368421
123,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,1540,2248.0,0.5660000000000001,1594,47,0.382,0.40700000000000003,33.91489361702128
124,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,2,3,2,1527,32989.0,0.526,1268,42,0.355,0.044000000000000004,30.19047619047619
125,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,0,2926.0,0.6759999999999999,1304,24,0.846,0.0,54.333333333333336
126,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,0,32090.0,0.5670000000000001,1368,30,0.364,0.0,45.6
127,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,2227,9442.0,0.622,720,23,0.353,0.191,31.304347826086957
128,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,3,1,2,1300,12232.0,0.846,1521,29,1.4169999999999998,0.096,52.44827586206897
129,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,2090,9798.0,0.7,1137,30,0.765,0.17600000000000002,37.9
130,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,1985,408.0,0.7879999999999999,978,16,0.778,0.83,61.125
131,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,2517,3594.0,0.632,1221,16,2.2,0.41200000000000003,76.3125
132,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,1662,17608.0,1.186,1565,28,1.545,0.086,55.892857142857146
133,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,2517,1193.0,1.541,1578,34,0.7,0.6779999999999999,46.411764705882355
134,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,797,2438.0,0.541,1493,32,1.0,0.24600000000000002,46.65625
135,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,788,10961.0,0.688,1178,27,0.929,0.067,43.629629629629626
136,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,2,2100,5653.0,0.8390000000000001,991,26,0.733,0.271,38.11538461538461
137,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,5,1,0,1186,9222.0,1.689,2560,42,1.2109999999999999,0.114,60.95238095238095
138,Existing Customer,63,F,1,College,Married,Unknown,Blue,36,6,2,3,1568,2399.0,1.236,1657,29,1.2309999999999999,0.395,57.13793103448276
139,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,2,2517,3688.0,0.9390000000000001,1204,19,0.727,0.406,63.36842105263158
140,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,1,3,3,0,8025.0,0.654,673,18,0.8,0.0,37.388888888888886
141,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42,6,2,3,2327,6709.0,0.649,1131,18,0.636,0.258,62.833333333333336
142,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,2,3,2,2517,12409.0,1.996,1576,25,1.5,0.16899999999999998,63.04
143,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,3,1128,5207.0,0.397,1217,20,0.667,0.17800000000000002,60.85
144,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,2,3,3,0,14979.0,0.71,530,10,1.0,0.0,53.0
145,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,0,2732.0,0.76,739,16,0.455,0.0,46.1875
146,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,6,3,2,2117,133.0,1.162,1617,31,2.875,0.941,52.16129032258065
147,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,3,2,0,1536,9380.0,1.317,1592,34,1.0,0.141,46.8235294117647
148,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,36,4,1,3,1228,4121.0,0.728,1343,30,1.308,0.23,44.766666666666666
149,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,4,1,3,1104,8262.0,0.5720000000000001,1303,39,0.625,0.11800000000000001,33.41025641025641
150,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28,5,1,0,0,21617.0,1.047,1351,22,0.467,0.0,61.40909090909091
151,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,56,5,2,3,1652,12208.0,1.255,1910,32,1.909,0.11900000000000001,59.6875
152,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2,3,0,18386.0,0.868,1298,22,0.5710000000000001,0.0,59.0
153,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2,2,1540,865.0,0.469,1087,29,1.2309999999999999,0.64,37.48275862068966
154,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,4,2,3,930,1224.0,2.121,1439,26,1.364,0.43200000000000005,55.34615384615385
155,Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,36,3,3,3,0,2038.0,0.7859999999999999,1238,28,0.75,0.0,44.214285714285715
156,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,38,6,1,3,0,8135.0,1.3730000000000002,1716,29,0.812,0.0,59.172413793103445
157,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,6,1,3,618,8746.0,0.5539999999999999,1099,27,0.8,0.066,40.7037037037037
158,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,35,4,3,2,0,32643.0,1.3,1058,24,2.4290000000000003,0.0,44.083333333333336
159,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3,1,1954,1241.0,0.971,1285,29,0.706,0.612,44.310344827586206
160,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,5,2,1,1024,1828.0,1.0090000000000001,1651,28,1.0,0.359,58.964285714285715
161,Existing Customer,59,F,1,College,Single,Unknown,Blue,36,2,3,3,1305,2919.0,0.852,1152,31,0.8240000000000001,0.309,37.16129032258065
162,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,2,2,2071,18388.0,1.248,1767,38,2.167,0.10099999999999999,46.5
163,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,41,6,5,3,2114,1368.0,0.508,1039,24,0.263,0.607,43.291666666666664
164,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,2,3,1570,1495.0,1.077,1130,28,1.3330000000000002,0.512,40.357142857142854
165,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1,2,1761,424.0,0.682,1645,30,0.429,0.8059999999999999,54.833333333333336
166,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,4,1,0,746,865.0,0.993,1413,29,0.706,0.46299999999999997,48.724137931034484
167,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3,3,2173,649.0,1.456,1218,23,2.286,0.77,52.95652173913044
168,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33,6,3,3,2517,30458.0,0.6579999999999999,597,17,0.7,0.076,35.11764705882353
169,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,47,5,2,2,0,1438.3,0.7759999999999999,2184,53,0.828,0.0,41.20754716981132
170,Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,36,4,3,3,1719,14156.0,0.86,1592,37,1.4669999999999999,0.10800000000000001,43.027027027027025
171,Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,45,6,3,3,893,5810.0,0.5670000000000001,1388,28,0.75,0.133,49.57142857142857
172,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,36,2,2,1,0,3212.0,0.713,757,20,0.25,0.0,37.85
173,Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,45,3,1,3,1260,33256.0,0.588,1504,34,0.789,0.037000000000000005,44.23529411764706
174,Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,36,4,1,2,1434,8363.0,0.644,1503,34,0.478,0.146,44.205882352941174
175,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,5,2,2,1777,8623.0,0.7909999999999999,1105,28,0.867,0.171,39.464285714285715
176,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,2,1,2,1836,24956.0,1.432,2398,47,0.88,0.069,51.02127659574468
